file_pathname,pattern_type,role
helix-core/src/main/java/org/apache/helix/HelixDataAccessor.java,Factory Method,Creator
helix-core/src/main/java/org/apache/helix/HelixDataAccessor.java,Factory Method,FactoryMethod()
helix-core/src/main/java/org/apache/helix/controller/GenericHelixController.java,Factory Method,Creator
helix-core/src/main/java/org/apache/helix/controller/GenericHelixController.java,Factory Method,FactoryMethod()
helix-core/src/main/java/org/apache/helix/controller/rebalancer/internal/MappingCalculator.java,Factory Method,Creator
helix-core/src/main/java/org/apache/helix/controller/rebalancer/internal/MappingCalculator.java,Factory Method,FactoryMethod()
helix-core/src/main/java/org/apache/helix/HelixManager.java,Factory Method,Creator
helix-core/src/main/java/org/apache/helix/HelixManager.java,Factory Method,FactoryMethod()
helix-core/src/main/java/org/apache/helix/tools/commandtools/ZkCopy.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/tools/commandtools/ZkCopy.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/util/StatusUpdateUtil.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/util/StatusUpdateUtil.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/IdealStateTrimmer.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/IdealStateTrimmer.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/ClusterConfigTrimmer.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/ClusterConfigTrimmer.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/ResourceConfigTrimmer.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/ResourceConfigTrimmer.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/InstanceConfigTrimmer.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/changedetector/trimmer/InstanceConfigTrimmer.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/rebalancer/constraint/MonitoredAbnormalResolver.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/rebalancer/constraint/MonitoredAbnormalResolver.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/controller/rebalancer/constraint/dataprovider/ZkBasedCapacityProvider.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/controller/rebalancer/constraint/dataprovider/ZkBasedCapacityProvider.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/manager/zk/ZKExceptionHandler.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/manager/zk/ZKExceptionHandler.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/common/caches/TaskDataCache.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/common/caches/TaskDataCache.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/cloud/topology/FaultZoneBasedVirtualGroupAssignmentAlgorithm.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/cloud/topology/FaultZoneBasedVirtualGroupAssignmentAlgorithm.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/cloud/topology/FifoVirtualGroupAssignmentAlgorithm.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/cloud/topology/FifoVirtualGroupAssignmentAlgorithm.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/task/JobDag.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/task/JobDag.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/model/LiveInstance.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/model/LiveInstance.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/model/ClusterConstraints.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/model/ClusterConstraints.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/model/CustomizedStateConfig.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/model/CustomizedStateConfig.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/model/RESTConfig.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/model/RESTConfig.java,Singleton,uniqueInstance
helix-core/src/main/java/org/apache/helix/model/IdealState.java,Singleton,Singleton
helix-core/src/main/java/org/apache/helix/model/IdealState.java,Singleton,uniqueInstance
