fixing_commit_hash,introducing_commit_hash,file_path,issue_keys,fixing_date,introducing_date
3cb1fe2cc87c55d3d86823588f8bf6a110320072,224a729f44f554af311ca52cf01b105ded87499b,R/parsers.R,4,2020-05-23T16:47:52-10:00,2020-05-23T05:12:20-10:00
3cb1fe2cc87c55d3d86823588f8bf6a110320072,224a729f44f554af311ca52cf01b105ded87499b,vignettes/network_parsers.Rmd,4,2020-05-23T16:47:52-10:00,2020-05-23T05:12:20-10:00
e1ab8e1482b9d4c262c30979caf72a4f689efab3,b931ea9f0f080d00c953832026553e752ea54cc2,R/parsers.R,25,2020-05-28T04:42:46-10:00,2020-05-27T05:23:28-10:00
7ee45d3861714e4fa93a2e17af203d7570b55031,aa46bd784e2a74febd0846a8048f4b8511b08306,README.md,6,2020-05-28T05:03:54-10:00,2020-05-28T05:01:57-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,3caa577df60cf259c9c5d3392259c0722d28eb44,DESCRIPTION,41,2020-06-05T01:32:03-10:00,2020-05-28T04:27:22-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,59953167e53e8844e3a165057ca0a77b10fa4412,vignettes/churn_metrics.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-27T03:04:49-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,8e0ac196b7b4198c3cce335d702ebecba6bc24b6,vignettes/depends_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-27T23:59:14-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,3caa577df60cf259c9c5d3392259c0722d28eb44,vignettes/depends_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-28T04:27:22-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,224a729f44f554af311ca52cf01b105ded87499b,vignettes/gitlog_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-23T05:12:20-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,4026334e5068d2d1a0f713df183e803bc4797eb3,vignettes/gitlog_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-30T05:50:44-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,d69b8afbe195949bd79fe84ca46221d932b45f30,vignettes/gitlog_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-27T04:06:44-10:00
c537af9b0b63908f8d48a9e9640d61ee6efae940,b6de596e05c515af6b08e97ef5f4fa6f598f536d,vignettes/mailinglist_showcase.Rmd,41,2020-06-05T01:32:03-10:00,2020-05-28T04:39:55-10:00
6c62c97eeb5668515f14495019117662184ebd15,8e0ac196b7b4198c3cce335d702ebecba6bc24b6,vignettes/depends_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-05-27T23:59:14-10:00
6c62c97eeb5668515f14495019117662184ebd15,3caa577df60cf259c9c5d3392259c0722d28eb44,vignettes/depends_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-05-28T04:27:22-10:00
6c62c97eeb5668515f14495019117662184ebd15,c537af9b0b63908f8d48a9e9640d61ee6efae940,vignettes/gitlog_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-06-05T01:32:03-10:00
6c62c97eeb5668515f14495019117662184ebd15,8b1ace31495a923cd462d95b5e89a108d19e5d16,vignettes/gitlog_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-05-27T04:32:18-10:00
6c62c97eeb5668515f14495019117662184ebd15,05dc1768f3e7d4c53881448222cc8cc06d2a52da,vignettes/gitlog_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-05-27T16:20:01-10:00
6c62c97eeb5668515f14495019117662184ebd15,a4f7cbc4cb583e25548d7f84cd3330837d58d1eb,vignettes/interval_and_metric_showcase.Rmd,30;46,2020-06-08T21:28:08-10:00,2020-06-06T05:58:04-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,224a729f44f554af311ca52cf01b105ded87499b,DESCRIPTION,53,2020-06-16T00:01:18-10:00,2020-05-23T05:12:20-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,d69b8afbe195949bd79fe84ca46221d932b45f30,DESCRIPTION,53,2020-06-16T00:01:18-10:00,2020-05-27T04:06:44-10:00
