file_pathname,pattern_type,role,module
ambari-server/src/main/java/org/apache/ambari/server/topology/TopologyRequestFactory.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/topology/TopologyRequestFactory.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/ServiceComponentHost.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/ServiceComponentHost.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementController.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementController.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/predicate/ComparisonPredicate.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/predicate/ComparisonPredicate.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/AbstractProviderModule.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/AbstractProviderModule.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/spi/ExtendedResourceProvider.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/spi/ExtendedResourceProvider.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/spi/ClusterController.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/spi/ClusterController.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/logging/LoggingRequestHelperFactory.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/logging/LoggingRequestHelperFactory.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/predicate/operators/LogicalOperator.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/predicate/operators/LogicalOperator.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/util/TreeNode.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/util/TreeNode.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/resources/ResourceDefinition.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/resources/ResourceDefinition.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/resources/ResourceInstanceFactory.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/resources/ResourceInstanceFactory.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/query/render/Renderer.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/query/render/Renderer.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/handlers/RequestHandler.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/handlers/RequestHandler.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/handlers/BaseManagementHandler.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/handlers/BaseManagementHandler.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/services/BaseRequest.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/services/BaseRequest.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/services/Request.java,Factory Method,Creator,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/api/services/Request.java,Factory Method,FactoryMethod(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/topology/addservice/RequestValidator.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/topology/addservice/RequestValidator.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/configuration/ComponentSSLConfiguration.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/configuration/ComponentSSLConfiguration.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/security/encryption/Encryptor.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/security/encryption/Encryptor.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/utils/PasswordUtils.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/utils/PasswordUtils.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/agent/stomp/dto/ComponentStatusReport.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/agent/stomp/dto/ComponentStatusReport.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/stack/RepoTag.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/stack/RepoTag.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/CommandScriptDefinition.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/CommandScriptDefinition.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/predicate/AlwaysPredicate.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/predicate/AlwaysPredicate.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/BlueprintConfigurationProcessor.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/BlueprintConfigurationProcessor.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/KerberosHelperImpl.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/KerberosHelperImpl.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/utilities/UsedIdentities.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/utilities/UsedIdentities.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/RootService.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/RootService.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/logging/LoggingCookieStore.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/logging/LoggingCookieStore.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/view/ViewRegistry.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/view/ViewRegistry.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/stack/upgrade/TransferCoercionType.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/stack/upgrade/TransferCoercionType.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/events/jpa/JPAEvent.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/events/jpa/JPAEvent.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/events/AgentActionEvent.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/events/AgentActionEvent.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/notifications/DispatchFactory.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/notifications/DispatchFactory.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/annotations/TransactionalLock.java,Singleton,Singleton,ambari-server
ambari-server/src/main/java/org/apache/ambari/annotations/TransactionalLock.java,Singleton,uniqueInstance,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/state/services/MetricsRetrievalService.java,(Object)Adapter,Adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/jmx/JMXPropertyProvider.java,(Object)Adapter,Adapter,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/jmx/JMXPropertyProvider.java,(Object)Adapter,adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/jmx/JMXPropertyProvider.java,(Object)Adapter,Request(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/metrics/RestMetricsPropertyProvider.java,(Object)Adapter,Adapter,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/metrics/RestMetricsPropertyProvider.java,(Object)Adapter,adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/metrics/RestMetricsPropertyProvider.java,(Object)Adapter,Request(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/orm/dao/AlertDispatchDAO.java,(Object)Adapter,Adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/AlertNoticeResourceProvider.java,(Object)Adapter,Adapter,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/AlertNoticeResourceProvider.java,(Object)Adapter,adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/AlertNoticeResourceProvider.java,(Object)Adapter,Request(),ambari-server
ambari-server/src/main/java/org/apache/ambari/server/orm/dao/ClusterDAO.java,(Object)Adapter,Adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/ClusterPrivilegeResourceProvider.java,(Object)Adapter,Adapter,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/ClusterPrivilegeResourceProvider.java,(Object)Adapter,adaptee,ambari-server
ambari-server/src/main/java/org/apache/ambari/server/controller/internal/ClusterPrivilegeResourceProvider.java,(Object)Adapter,Request(),ambari-server
