model,verdict,gap,cell,inp_cnt,par_cnt,boundary_adq,anomaly_check,extreme_eqn,mr_zero_input,mr_monotone,mr_dt_halving,mr_bound_consist,mr_scale
diapers,CONFIRM,-24.00,process-conditional,45,200,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
brooks,CONFIRM,-147.50,fragile,5,37,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL
bugs,CONFIRM,+38.06,process-conditional,64,200,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
debt,CONFIRM,-56.65,universal,200,200,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
sir,CONFIRM,-21.90,universal,200,133,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
rework,CONFIRM,-48.32,universal,200,200,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
learn,CONFIRM,-5.28,process-conditional,95,170,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
brooksq,CONFIRM,-45.91,fragile,4,39,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS
defmap,CONFIRM,-100.00,universal,147,163,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,SKIP
aiwork,CONFIRM,-51.69,universal,143,133,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
flaky,CONFIRM,-127.97,universal,196,200,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS
dora,CONFIRM,-45.35,universal,183,200,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
micro,CONFIRM,-67.01,process-conditional,30,141,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
teamtopo,CONFIRM,-139.84,universal,191,112,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
burnout,CONFIRM,-384.38,process-conditional,41,197,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS
aidebt,REFUTE,+6.50,world-conditional,188,75,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS
archpat,CONFIRM,+228.69,fragile,66,89,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
congruence,CONFIRM,-314.85,universal,180,169,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
