model,verdict,gap,verdict_n,gap_n,sd0_n,sd1_n,eps_n,cell,inp_cnt,par_cnt,boundary_adq,anomaly_check,extreme_eqn,mr_zero_input,mr_monotone,mr_dt_halving,mr_bound_consist,mr_scale
diapers,CONFIRM,-24.00,neutral,-19.60,58.42,63.69,20.45,process-conditional,84,200,PASS,FAIL,ERR:ValueError,PASS,PASS,FAIL,PASS,ERR:ValueError
brooks,CONFIRM,-147.50,neutral,-0.58,188.32,186.41,65.91,fragile,12,68,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,FAIL,ERR:ValueError
bugs,CONFIRM,+38.06,CONFIRM,+22.16,47.22,33.59,16.53,universal,130,200,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
debt,CONFIRM,-56.65,CONFIRM,-34.00,46.24,75.62,16.19,universal,200,200,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
sir,CONFIRM,-21.90,CONFIRM,-21.94,26.14,25.21,9.15,universal,200,165,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
rework,CONFIRM,-48.32,CONFIRM,-31.69,6.11,12.62,2.14,universal,200,200,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
learn,CONFIRM,-5.28,neutral,-3.67,29.32,30.71,10.26,universal,159,198,PASS,PASS,ERR:ValueError,PASS,FAIL,PASS,PASS,ERR:ValueError
brooksq,CONFIRM,-45.91,neutral,-0.38,191.46,191.12,67.01,fragile,6,80,FAIL,PASS,ERR:ValueError,PASS,PASS,PASS,FAIL,ERR:ValueError
defmap,CONFIRM,-100.00,CONFIRM,-19.33,19.87,24.14,6.95,universal,156,163,PASS,PASS,ERR:ValueError,PASS,FAIL,PASS,FAIL,ERR:ValueError
aiwork,CONFIRM,-51.69,neutral,-50.54,263.62,252.89,92.27,universal,188,170,PASS,PASS,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
flaky,CONFIRM,-127.97,CONFIRM,-200.45,171.13,137.00,59.90,universal,200,200,PASS,FAIL,ERR:ValueError,PASS,PASS,PASS,PASS,ERR:ValueError
