gen_boost,churn_mult,gap
0.0,0.0,-51.24
0.0,1.0,-61.42
0.0,2.0,-69.32
0.0,3.0,-75.60
0.0,4.0,-80.69
0.0,5.0,-84.90
0.2,0.0,-35.87
0.2,1.0,-48.09
0.2,2.0,-57.57
0.2,3.0,-65.10
0.2,4.0,-71.21
0.2,5.0,-76.26
0.5,0.0,-12.81
0.5,1.0,-28.09
0.5,2.0,-39.94
0.5,3.0,-49.35
0.5,4.0,-56.99
0.5,5.0,-63.30
1.0,0.0,25.62
1.0,1.0,5.25
1.0,2.0,-10.55
1.0,3.0,-23.10
1.0,4.0,-33.29
1.0,5.0,-41.70
1.5,0.0,64.05
1.5,1.0,38.59
1.5,2.0,18.84
1.5,3.0,3.15
1.5,4.0,-9.58
1.5,5.0,-20.10
2.0,0.0,102.48
2.0,1.0,71.93
2.0,2.0,48.23
2.0,3.0,29.40
2.0,4.0,14.12
2.0,5.0,1.50
